date,cumulative_return
2023-10-03,7.319844099842442
2023-10-04,7.157558669873099
2023-10-05,7.310888133344346
2023-10-06,7.316775852060635
2023-10-09,7.304668712165121
2023-10-10,7.354755784061613
2023-10-11,7.399369765320436
2023-10-12,7.469358984990407
2023-10-13,7.379467617546995
2023-10-16,7.419769466788226
2023-10-17,7.526826436686214
2023-10-18,7.520358238659835
2023-10-19,8.092959615225078
2023-10-20,8.104071647731917
2023-10-23,7.964922464549222
2023-10-25,7.868562899079466
2023-10-26,7.72269674102326
2023-10-27,7.912098847333892
2023-10-30,7.80487602620445
2023-10-31,7.81341736462389
2023-11-01,7.86367028775183
2023-11-02,7.820631893191761
2023-11-03,7.904469690687428
2023-11-06,7.967327307405226
2023-11-07,7.987478232025829
2023-11-08,7.951986068496527
2023-11-09,7.9873123807944
2023-11-10,7.942781325151293
2023-11-12,8.026536197031234
2023-11-13,7.997761008375457
2023-11-15,8.18268513143709
2023-11-16,8.206236006302346
2023-11-17,8.339912098847336
2023-11-20,8.370843353511892
2023-11-21,8.430218094369327
2023-11-22,8.53901650219748
2023-11-23,8.827100091218146
2023-11-24,8.835475578406127
2023-11-28,8.948005638941831
2023-11-29,9.067086823119611
2023-11-30,9.101252176797335
2023-12-01,9.02744837880414
2023-12-04,9.285595820548881
2023-12-05,9.183431461978488
2023-12-06,9.067086823119533
2023-12-07,9.106310639356366
2023-12-08,9.076623268927621
2023-12-11,9.180611991043875
2023-12-12,9.372667717057645
2023-12-13,9.47532962932232
2023-12-14,9.506426735218328
2023-12-15,9.407496475661118
2023-12-18,9.723443071564574
2023-12-19,9.645990546479558
2023-12-20,9.555518699726088
2023-12-21,9.359648395389096
2023-12-22,9.568206318931667
2023-12-26,9.721535782402876
2023-12-27,10.128037150675523
2023-12-28,10.117505597478743
2023-12-29,10.273322829421714
2024-01-01,10.113856870386943
2024-01-02,10.054067501450886
2024-01-03,10.587196284932077
2024-01-04,10.480471017496939
2024-01-05,10.57392818641642
2024-01-08,10.582801227298743
2024-01-09,10.765320507504375
2024-01-10,10.698731238079034
2024-01-11,11.105232606351661
2024-01-12,11.110373994526459
2024-01-15,11.160378140807216
2024-01-16,11.09710589601079
2024-01-17,10.884816319760722
2024-01-18,10.74823783066548
2024-01-19,10.83605605771583
2024-01-20,10.767393647897444
2024-01-23,10.768637532133308
2024-01-24,10.96260054730866
2024-01-25,11.600547309063305
2024-01-29,11.519777759349365
2024-01-30,11.548967576083731
2024-01-31,11.716726096690726
2024-02-01,11.697155651380143
2024-02-02,11.833899991706904
2024-02-05,11.701301932166295
2024-02-06,11.804378472509583
2024-02-07,11.773695994692185
2024-02-08,11.865494651297212
2024-02-09,11.91126959117616
2024-02-12,11.98606849655804
2024-02-13,12.131105398457013
2024-02-14,12.406252591424886
2024-02-15,12.472178455924395
2024-02-16,12.807197943444084
2024-02-19,13.11344224230799
2024-02-20,12.757691350857629
2024-02-21,12.653288000662764
2024-02-22,13.094783978770346
2024-02-23,12.992785471431432
2024-02-26,13.011112032506155
2024-02-27,13.036818973380226
2024-02-28,12.580976863752552
2024-02-29,12.117754374325605
2024-03-01,12.334521933824696
2024-03-02,12.336595074217708
2024-03-04,12.611908118417041
2024-03-05,12.851480222239893
2024-03-06,13.272825275726914
2024-03-07,13.726013765651443
2024-03-11,13.361721535781669
2024-03-12,13.143295463968103
2024-03-13,12.906459905464091
2024-03-14,12.904220913839591
2024-03-15,12.849738784309793
2024-03-18,13.13351024131283
2024-03-19,13.329878099344164
2024-03-20,13.32224894269769
2024-03-21,13.512977858859859
2024-03-22,13.835807280868329
2024-03-26,13.861182519279454
2024-03-27,14.196119081183415
2024-03-28,14.17231942947101
2024-04-01,13.996517124138904
2024-04-02,14.38452608010536
2024-04-03,14.06003814578248
2024-04-04,14.169002404842123
2024-04-05,13.942366697072037
2024-04-08,13.977195455675597
2024-04-09,13.891616220249764
2024-04-10,13.935815573429942
2024-04-12,14.03416535367705
2024-04-15,13.921718218757064
2024-04-16,13.792520109461131
2024-04-18,13.961937142382626
2024-04-19,13.60237167260906
2024-04-22,13.587859689857586
2024-04-23,13.587942615473274
2024-04-24,13.424247450036686
2024-04-25,13.486939215523032
2024-04-26,13.88398706360327
2024-04-29,13.528733725847273
2024-04-30,13.766813168587163
2024-05-02,14.110125217679112
2024-05-03,14.10174973049115
2024-05-06,14.013765652209338
2024-05-07,13.392404013599254
2024-05-08,13.51098764408274
2024-05-09,13.67260966912625
2024-05-10,13.896425905961797
2024-05-13,13.9138402852636
2024-05-14,14.034828758602973
2024-05-15,13.765983912429991
2024-05-16,13.714072476987592
2024-05-17,13.56289907952511
2024-05-18,13.617878762749239
2024-05-21,13.629239572103218
2024-05-22,13.604113110539275
2024-05-23,13.865992204991532
2024-05-24,13.840699892196092
2024-05-27,13.924454764076007
2024-05-28,13.90961107886161
2024-05-29,14.043038394559444
2024-05-30,13.874367692179518
2024-05-31,14.067169748734756
2024-06-03,14.482958785968314
2024-06-04,14.335848743676259
2024-06-05,14.925449871464574
2024-06-06,15.08997429305838
2024-06-07,15.129944439836716
2024-06-10,15.142383282195159
2024-06-11,15.27448378804143
2024-06-12,15.4263205904297
2024-06-13,15.45808110125147
2024-06-14,15.52168504851078
2024-06-18,15.449456837216296
2024-06-19,15.064018575337204
2024-06-20,14.974790612819564
2024-06-21,14.925449871464544
2024-06-24,15.16261713243146
2024-06-25,15.021146032008584
2024-06-26,14.713823700140315
2024-06-27,14.618956795753553
2024-06-28,14.758603532630554
2024-07-01,14.80960278630003
2024-07-02,14.592088896259407
2024-07-03,14.627166431710096
2024-07-04,14.690936230200839
2024-07-05,14.981092959614546
2024-07-08,14.804627249356635
2024-07-09,14.812422257234598
2024-07-10,14.826270835060253
2024-07-11,14.700804378471837
2024-07-12,14.641015009535744
2024-07-15,15.043370097022283
2024-07-16,15.118003151172694
2024-07-18,14.965171241395728
2024-07-19,14.56687950907961
2024-07-22,14.6061033253165
2024-07-23,14.560991790363362
2024-07-24,14.358155734305681
2024-07-25,14.388091881581568
2024-07-26,14.744091549879101
2024-07-29,14.851480222239982
2024-07-30,14.8625922547468
2024-07-31,15.02819470934502
2024-08-01,15.138154075793306
2024-08-02,14.948586118251223
2024-08-05,14.73107222821059
2024-08-06,14.635458993282342
2024-08-07,15.101169251180995
2024-08-08,14.990214777343999
2024-08-09,15.196948337340643
2024-08-12,15.105564308814234
2024-08-13,15.04046770047194
2024-08-14,15.169831660999378
2024-08-16,15.399618542166913
2024-08-19,15.204743345218539
2024-08-20,15.219752881664327
2024-08-21,15.339663321999314
2024-08-22,15.442822787958342
2024-08-23,16.259225474748252
2024-08-26,16.302512646155456
2024-08-27,16.417032921468493
2024-08-28,16.674351107056015
2024-08-29,16.924952317769993
2024-08-30,17.063769798489773
2024-09-02,17.452773861844893
2024-09-03,17.316029521518224
2024-09-04,17.183431461977612
2024-09-05,17.004395057632344
2024-09-06,16.961854216766657
2024-09-09,16.990878182269626
2024-09-10,17.22331868314034
2024-09-11,17.94145451529886
2024-09-12,18.443569118499767
2024-09-13,18.466207811592028
2024-09-16,18.385272410646664
2024-09-17,18.819719711417882
2024-09-18,18.511816900239516
2024-09-19,18.683224147938276
2024-09-20,18.805456505513487
2024-09-23,19.46430052243027
2024-09-24,19.63794676175364
2024-09-25,19.56099179036292
2024-09-26,19.93316195372633
2024-09-27,20.007380379798168
2024-09-30,19.475910108631417
2024-10-01,19.16328053735684
2024-10-03,18.581142714983542
2024-10-04,18.527987395305345
2024-10-07,18.267020482626066
2024-10-08,18.71821875777327
2024-10-09,18.600464383447036
2024-10-10,18.62351770461791
2024-10-11,18.698067833152624
2024-10-14,18.735135583380682
2024-10-15,18.10854963098002
2024-10-16,18.266854631394626
2024-10-17,15.783232440499965
2024-10-18,15.691185007047789
2024-10-21,16.41520855792266
2024-10-22,16.19603615556762
2024-10-23,16.558255245044304
2024-10-24,16.086823119660828
2024-10-25,15.926942532547443
2024-10-28,15.603781408076088
2024-10-29,15.337756032837714
2024-10-30,15.486690438675677
2024-10-31,15.313624678662414
2024-11-01,15.379384691930511
2024-11-04,14.798241976945839
2024-11-05,15.377560328384536
2024-11-06,15.619122646984717
2024-11-07,15.347375404261502
2024-11-08,15.436520441163385
2024-11-11,15.451364126377747
2024-11-12,15.052243137904437
2024-11-13,14.676507173064902
2024-11-14,14.727589352350089
2024-11-18,14.783232440500017
2024-11-19,14.831661000082025
2024-11-21,14.764159548883791
2024-11-22,14.725433286341282
